model,dataset,trainer_configuration,fold,test_setting,row_type,case_id,source_case_id,patient_id,series_id,contrast_label,contrast,segment,n_cases,volume_ml,DSC,IoU,HD95_mm,ASSD_mm,volume_error_pct,precision,recall,relative_volume_error_pct,TP,FP,FN,TN,n_pred,n_ref,prediction_file,reference_file,summary_file
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0130,,,,,UNKNOWN,liver,,NA,0.9418870556,0.8901573887,NA,NA,4.177732616,0.923001291,0.9615618169,4.177732616,707822,59048,28295,16244195,766870,736117,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0130.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0130.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0141,,,,,UNKNOWN,liver,,NA,0.8770713638,0.7810570819,NA,NA,7.24806989,0.8474341193,0.9088567365,7.24806989,125255,22550,12561,5082514,147805,137816,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0141.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0141.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0144,,,,,UNKNOWN,liver,,NA,0.9388737366,0.8847898397,NA,NA,-5.011378028,0.9636401302,0.9153484805,-5.011378028,181412,6845,16777,3596054,188257,198189,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0144.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0144.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0145,,,,,UNKNOWN,liver,,NA,0.958116024,0.919599539,NA,NA,-0.03769475624,0.9582966718,0.9579354442,-0.03769475624,137230,5972,6026,4045076,143202,143256,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0145.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0145.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0148,,,,,UNKNOWN,liver,,NA,0.8005395808,0.6674164215,NA,NA,38.04243835,0.6902311929,0.952811969,38.04243835,1067622,479138,52874,27596654,1546760,1120496,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0148.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0148.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0151,,,,,UNKNOWN,liver,,NA,0.8443916108,0.7306901012,NA,NA,-9.7510439,0.8900082031,0.8032231125,-9.7510439,177934,21990,43591,4344005,199924,221525,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0151.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0151.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0169,,,,,UNKNOWN,liver,,NA,0.9444324468,0.8947153064,NA,NA,0.8910395461,0.9402619741,0.9486400801,0.8910395461,113704,7224,6156,4591508,120928,119860,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0169.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0169.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0174,,,,,UNKNOWN,liver,,NA,0.9309246389,0.8707755063,NA,NA,0.515966248,0.9285353384,0.9333262673,0.515966248,634016,48797,45292,13525975,682813,679308,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0174.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0174.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0180,,,,,UNKNOWN,liver,,NA,0.9402728271,0.8872782082,NA,NA,5.927156324,0.9139663339,0.9681385473,5.927156324,648131,61010,21330,16964249,709141,669461,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0180.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0180.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0184,,,,,UNKNOWN,liver,,NA,0.9230326037,0.857066432,NA,NA,-6.680788829,0.9560728847,0.8921996742,-6.680788829,171421,7876,20712,3732151,179297,192133,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0184.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0184.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
